Gender,ClassYear,GPA,ClassesMissed,CognitionZscore,AnxietyScore,StressScore,AnxietyStatus,Stress,Happiness,AlcoholUse,Drinks,WeekdayBed,WeekdaySleep,WeekendSleep,AverageSleep,AllNighter
Male,3,2.8,20,-0.57,5,10,normal,normal,19,Moderate,7,25.25,7.2,8,7.43,No
Female,3,3.05,4,-0.11,10,20,moderate,high,30,Light,1,24.5,7.4,7,7.29,No
Female,3,3.3,1,-0.58,6,12,normal,normal,34,Light,2,25,8.45,8.88,8.57,No
Female,3,2.9,1,-0.05,1,10,normal,normal,28,Moderate,7,24.63,9.74,8.5,9.39,No
Female,1,3,5,-0.31,0,6,normal,normal,27,Light,3,24.6,9.3,10.25,9.57,No
Female,2,3.2,0,-0.33,2,8,normal,normal,25,Abstain,0,24.6,7.65,8.88,8,No
Male,2,3.07,20,-0.62,5,16,normal,high,24,Abstain,0,24.7,10.32,8.75,9.87,No
Male,2,3,10,0.16,13,14,moderate,normal,28,Moderate,8,24.4,8.45,9.5,8.75,No
Female,4,2.9,0,-0.04,12,26,moderate,high,17,Moderate,5,24.4,8.4,9,8.57,No
Female,4,3.4,3,0.78,5,9,normal,normal,27,Light,3,23.9,8,7,7.71,No
Female,4,3,2,-0.86,8,14,moderate,normal,25,Moderate,5,25,8.1,5.75,7.43,No
Female,2,3.75,0,1.37,15,23,severe,high,25,Moderate,8,24.05,8.55,7.75,8.32,No
Female,1,4,0,0.01,3,10,normal,normal,15,Light,1,22.9,9.4,8.25,9.07,No
Female,4,2.8,0,-1.27,1,2,normal,normal,18,Light,6,23.8,8.4,9.25,8.64,No
Male,2,2.35,6,-0.29,16,7,severe,normal,21,Moderate,12,25,9.18,8.75,9.06,No
Female,2,3.04,0,0.2,13,17,moderate,high,23,Abstain,0,26.63,7.05,7.38,7.14,No
Male,4,2.75,0,0.26,7,5,normal,normal,27,Abstain,0,23.8,7.75,7.88,7.79,No
Female,1,3.5,1,0.06,1,4,normal,normal,27,Light,3,25.8,6.45,8.13,6.93,No
Female,1,3.2,0,0.62,4,2,normal,normal,25,Light,1,24.6,8.17,8.75,8.33,No
Female,1,3.25,5,-0.28,8,14,moderate,normal,30,Moderate,4,22.83,10.48,7.67,9.68,No
Female,4,2.9,4,0.05,12,18,moderate,high,25,Moderate,4,25.17,8,9.5,8.43,No
Female,4,3.84,1,-0.05,1,3,normal,normal,30,Moderate,4,23.9,7.95,7.5,7.82,No
Female,4,3.5,0,-0.6,2,13,normal,normal,28,Moderate,3,24.4,8.6,6.25,7.93,No
Male,2,2.8,1,0.34,0,0,normal,normal,26,Light,2,25.4,7.57,9,7.98,No
Male,1,3.25,2,-0.48,6,7,normal,normal,31,Light,3,23.3,8.8,9.25,8.93,No
Female,1,2.9,0,0.07,6,11,normal,normal,24,Light,5,24.9,8.25,9,8.46,No
Male,3,3.5,2,0.47,5,19,normal,high,24,Moderate,9,24.95,7.97,9.13,8.3,No
Female,4,3.1,6,-0.32,9,18,moderate,high,26,Light,3,23.65,8.95,7.75,8.61,No
Female,3,3.2,1,-0.24,1,9,normal,normal,28,Light,6,26.6,5.9,6.75,6.14,No
Male,1,3.4,2,0.04,2,3,normal,normal,30,Moderate,5,26.8,6.2,5.75,6.07,Yes
Male,2,2.5,0,-0.13,4,11,normal,normal,27,Light,5,25.57,5.63,8.29,6.39,No
Male,3,3.25,0,-0.39,1,6,normal,normal,31,Moderate,9,24.12,7.87,9.59,8.36,No
Female,3,3,0,1.41,22,26,severe,high,25,Light,3,25,7.55,8,7.68,No
Female,2,3.2,3,0.59,6,4,normal,normal,30,Light,2,25.2,8.23,8.38,8.27,No
Female,4,3.25,4,-1.16,10,12,moderate,normal,21,Moderate,7,23.2,8.9,9.5,9.07,No
Female,3,2,1,-0.75,2,1,normal,normal,23,Moderate,5,25.3,6.85,4.38,6.14,No
Male,1,3.4,1,1.37,8,8,moderate,normal,28,Abstain,0,27,4.79,8.25,5.78,Yes
Female,2,3.4,2,0.53,10,24,moderate,high,16,Moderate,5,25.2,9.97,6.25,8.9,Yes
Female,2,3.3,2,-0.75,14,27,moderate,high,29,Heavy,5,24.5,7.12,6.88,7.05,No
Female,2,3.25,0,1.77,2,2,normal,normal,29,Light,5,25.3,8.6,7.5,8.29,No
Male,2,2.5,3,0.29,3,5,normal,normal,21,Moderate,10,26.13,6,7,6.29,Yes
Female,2,3.2,2,0.03,1,5,normal,normal,31,Light,6,24.4,7.95,8,7.96,No
Female,4,3.25,1,1.89,0,0,normal,normal,30,Light,5,23,8.22,8,8.16,No
Female,1,3.32,5,0.19,4,8,normal,normal,25,Moderate,9,24.55,7.73,6,7.24,Yes
Male,4,3,2,-0.86,21,25,severe,high,12,Moderate,5,26.45,6.63,8.38,7.13,Yes
Female,3,3.67,14,-0.02,9,12,moderate,normal,32,Abstain,0,25.6,5.87,6.75,6.12,No
Female,4,3.1,10,-0.37,2,5,normal,normal,31,Light,3,24.1,8.9,10.25,9.29,No
Female,2,2,1,0.48,2,0,normal,normal,22,Abstain,0,23.1,10.23,11,10.45,No
Female,2,3.2,0,-0.48,2,4,normal,normal,30,Moderate,6,24.33,7.52,9.13,7.98,No
Female,2,3.4,0,0.36,6,13,normal,normal,30,Moderate,7,24.2,8.6,10.5,9.14,No
Female,2,3.11,4,0.07,0,6,normal,normal,33,Light,2,23.8,8.33,9.5,8.66,No
Female,2,3.4,1,-0.16,7,4,normal,normal,33,Abstain,0,24.45,7.65,8.34,7.85,No
Female,3,2.4,4,-0.07,6,4,normal,normal,25,Light,5,25.75,8.77,7.63,8.44,No
Female,1,4,0,-0.51,10,14,moderate,normal,20,Moderate,5,24.4,7.17,9.75,7.9,No
Male,2,3.35,2,-1.62,10,31,moderate,high,12,Moderate,10,23,8.29,7.13,7.96,Yes
Female,4,3.3,1,1.22,4,13,normal,normal,30,Light,4,24.2,8.62,9,8.73,No
Female,3,3.3,2,1,3,17,normal,high,24,Light,1,24.4,7.1,11,8.21,No
Male,4,3.6,1,-0.03,11,18,moderate,high,29,Light,2,24.3,7.7,9,8.07,No
Female,2,3.25,0,-0.04,1,4,normal,normal,24,Light,5,23.7,8.23,8.25,8.24,No
Female,2,3.6,3,0.52,3,6,normal,normal,30,Moderate,4,25.6,7.33,8.25,7.59,No
Female,4,3.3,2,-0.6,1,2,normal,normal,25,Moderate,8,24.1,9.41,7.75,8.94,No
Female,2,3.3,0,0.7,6,17,normal,high,19,Light,2,24.65,8.75,6.5,8.11,No
Male,4,3,3,-0.8,0,6,normal,normal,28,Moderate,7,24.15,8.22,8.25,8.23,No
Female,2,2.84,0,0.49,13,21,moderate,high,29,Light,2,24.25,7.79,10,8.42,No
Male,2,2.75,2,-0.22,0,1,normal,normal,33,Light,3,25,8.5,10.42,9.05,No
Female,2,3.12,15,-1.45,20,13,severe,normal,30,Abstain,0,27.67,3.63,8.25,4.95,Yes
Male,2,3.6,0,-0.01,0,2,normal,normal,27,Abstain,0,25.5,5.25,7.88,6,No
Female,4,3.75,0,-1.21,12,23,moderate,high,20,Light,4,22.87,9.11,9.38,9.19,No
Female,3,3.7,0,0.15,4,4,normal,normal,31,Light,2,24.4,6.8,8.25,7.21,No
Female,4,2.4,0,0.03,5,12,normal,normal,19,Abstain,0,21.8,8.63,9.25,8.8,No
Female,4,3.6,0,0.3,17,26,severe,high,30,Moderate,3,25,5.95,9,6.82,No
Male,2,3,1,-1.52,1,2,normal,normal,28,Moderate,4,24.1,9.2,10.75,9.64,No
Female,1,3.95,3,-0.01,10,18,moderate,high,18,Heavy,7,25.2,7.7,6.25,7.29,No
Female,1,3.43,0,-0.05,1,2,normal,normal,28,Abstain,0,24.05,8.65,7.88,8.43,No
Male,3,2.81,2,-0.33,7,11,normal,normal,27,Moderate,6,25.2,8.25,8,8.18,No
Male,2,3,1,0.2,0,0,normal,normal,34,Heavy,13,25.1,7,7,7,No
Male,2,3.52,1,0.36,2,5,normal,normal,28,Moderate,10,23.9,8.6,10,9,No
Male,4,3.2,7,0.11,1,4,normal,normal,30,Moderate,7,25.3,7.32,9.25,7.87,No
Male,4,3.67,1,0.09,1,2,normal,normal,13,Moderate,5,24.4,7.85,6.5,7.46,No
Male,2,3.6,6,0.34,2,6,normal,normal,29,Moderate,10,25.1,9.3,7.75,8.86,No
Female,4,3.62,4,0.76,7,25,normal,high,33,Moderate,3,25.27,7.3,8.5,7.64,Yes
Female,3,3.6,0,0.11,0,0,normal,normal,31,Light,5,24.2,7.45,9.75,8.11,No
Female,1,3.9,0,0.11,7,14,normal,normal,25,Light,3,26.1,6,7.75,6.5,Yes
Female,3,3.5,1,-0.37,4,7,normal,normal,28,Abstain,1,25.4,6.67,6.13,6.51,No
Female,1,3.7,0,-0.43,13,25,moderate,high,17,Light,5,25.05,8.22,6.88,7.83,No
Male,2,3.2,2,-1.02,12,20,moderate,high,16,Light,9,25.3,6.7,9.96,7.63,Yes
Female,1,3.2,0,0.21,9,5,moderate,normal,28,Moderate,9,24.25,8.63,8.13,8.49,No
Female,3,3,1,0.52,0,3,normal,normal,28,Moderate,3,24,9.85,10.25,9.96,No
Female,3,3.3,7,-0.31,15,37,severe,high,20,Moderate,3,22.83,9.13,11.5,9.8,No
Female,3,3.8,1,0.24,4,19,normal,high,31,Moderate,5,24.75,7.25,9.63,7.93,No
Female,1,3.5,0,1.14,4,7,normal,normal,29,Moderate,4,24.6,7.17,6.75,7.05,No
Female,4,3.93,0,-0.72,9,13,moderate,normal,29,Light,1,23.55,7.05,9,7.61,No
Male,2,3.78,0,0.25,3,2,normal,normal,26,Abstain,0,23.83,7.78,8,7.84,No
Male,1,3.83,0,0.95,0,1,normal,normal,33,Abstain,0,25.2,9.2,6.84,8.52,No
Male,3,3.3,0,0.02,0,0,normal,normal,28,Moderate,7,25.17,8.22,9.5,8.59,No
Female,4,3.1,3,-0.82,3,6,normal,normal,29,Moderate,6,26.4,5.7,8,6.36,No
Female,4,3.35,0,-0.04,0,4,normal,normal,27,Moderate,8,24.7,8.95,7.5,8.54,No
Female,2,3.5,1,0.79,0,1,normal,normal,33,Moderate,12,25.65,8.16,4.84,7.21,No
Male,1,3.75,2,0.91,0,14,normal,normal,5,Light,2,25.2,7.3,8.5,7.64,No
Male,2,3.68,0,0.56,3,1,normal,normal,28,Light,1,25.8,6.57,8.25,7.05,No
Male,2,3.3,7,-0.76,3,10,normal,normal,16,Moderate,5,24.8,7.5,9.25,8,No
Male,2,2.66,2,0.58,1,0,normal,normal,28,Moderate,9,25.85,6.95,8,7.25,No
Male,3,3.36,0,0.56,4,7,normal,normal,32,Moderate,6,22.6,9.05,9.75,9.25,No
Female,1,3.2,2,1.13,13,7,moderate,normal,13,Abstain,0,24.3,7.2,9,7.71,No
Female,2,3,5,1.03,6,10,normal,normal,29,Moderate,7,25.25,8.48,7.5,8.2,No
Female,3,3.7,1,0.98,3,4,normal,normal,29,Abstain,0,23.75,7.43,8,7.6,No
Male,2,2.3,4,-1.23,3,2,normal,normal,31,Light,12,26.3,6.57,9.5,7.4,No
Male,2,3,4,-1.62,4,8,normal,normal,30,Abstain,0,24.75,8.6,5.84,7.81,Yes
Male,1,4,0,0.92,3,2,normal,normal,32,Moderate,6,23.8,8.8,10.04,9.15,No
Female,2,3,7,-0.75,10,22,moderate,high,15,Moderate,5,24.6,8.2,10,8.71,No
Male,2,3.5,2,0.26,12,22,moderate,high,28,Abstain,0,26.5,4.3,10,5.93,Yes
Male,3,2.9,0,-0.4,2,3,normal,normal,29,Moderate,8,25.1,7.15,8.5,7.54,No
Male,4,3,1,-0.89,10,23,moderate,high,25,Light,8,24.9,8.02,7,7.73,No
Male,3,3.5,1,-0.99,1,6,normal,normal,30,Moderate,7,26.5,7.64,7.75,7.67,No
Male,2,3.4,0,-1.06,3,8,normal,normal,25,Light,4,25.9,7.05,7.5,7.18,No
Male,3,3.9,4,0.52,2,7,normal,normal,24,Heavy,12,25.6,8.85,8.25,8.68,No
Female,2,3.72,1,1.45,1,8,normal,normal,29,Light,3,25.34,8.03,7.5,7.88,No
Female,3,3.5,0,1,6,13,normal,normal,29,Moderate,6,24.63,6,6,6,Yes
Female,2,3.6,1,1.19,9,25,moderate,high,28,Light,2,23.3,7.65,6.75,7.39,No
Female,4,3.6,2,1.48,1,0,normal,normal,30,Moderate,7,25.77,8.32,6.75,7.87,No
Female,4,3.8,4,0.49,1,13,normal,normal,19,Light,4,25.7,4.45,9,5.75,No
Female,2,3.44,0,-0.2,8,16,moderate,high,27,Light,4,24.1,9.2,9.63,9.32,No
Female,3,3.89,2,0.78,3,18,normal,high,32,Moderate,6,25.45,6.49,7.5,6.78,No
Female,1,3.5,2,-1.17,7,13,normal,normal,25,Light,4,26.6,7,5,6.43,No
Female,3,3.61,2,0.58,21,37,severe,high,11,Light,4,24.75,9.4,8,9,No
Female,4,3.43,2,0.27,4,4,normal,normal,31,Light,3,23.07,9.57,8.25,9.19,No
Female,4,3.79,0,-0.42,2,9,normal,normal,30,Light,1,25.46,7.83,8.42,7.99,No
Female,4,3.4,6,-0.03,4,12,normal,normal,21,Moderate,5,25.8,6.5,6,6.36,Yes
Female,4,3.19,13,-0.47,8,11,moderate,normal,30,Moderate,6,26,6.65,8.79,7.26,No
Male,2,3.1,7,-1.17,2,1,normal,normal,29,Moderate,9,26.13,7.28,8.14,7.53,No
Female,3,3.52,1,0.44,4,8,normal,normal,19,Moderate,8,23.9,7.7,7.5,7.64,No
Female,3,3.2,0,0.59,0,1,normal,normal,30,Light,3,24.67,8.95,8.75,8.89,No
Female,1,3.25,3,-0.2,5,13,normal,normal,21,Moderate,8,24.35,6.87,10.25,7.83,No
Female,2,3,7,0.28,2,1,normal,normal,23,Moderate,10,24.75,6.75,7.75,7.04,No
Female,4,3.74,1,0.21,8,13,moderate,normal,33,Light,3,24.1,7.4,9.5,8,No
Female,4,3.3,0,0.13,1,7,normal,normal,26,Moderate,6,24.7,9,8.25,8.79,No
Female,3,3,1,0.26,0,3,normal,normal,29,Moderate,5,24.8,8.03,8.5,8.17,No
Female,3,2.8,1,-0.17,14,12,moderate,normal,27,Moderate,6,24.1,9.05,6,8.18,No
Female,1,4,0,0.09,8,24,moderate,high,19,Abstain,0,23,9.88,9.75,9.85,No
Female,1,3.9,0,1.96,1,2,normal,normal,29,Light,8,24.5,7.95,7.75,7.89,No
Female,1,4,0,0.18,0,1,normal,normal,28,Moderate,8,24.9,7.65,7.13,7.5,No
Male,2,3.5,0,-0.22,13,36,moderate,high,29,Moderate,7,24.27,7.57,9.84,8.21,No
Female,2,3.4,0,1.71,4,4,normal,normal,31,Light,2,23.55,9.2,7.5,8.71,No
Male,2,3.25,15,-0.82,6,5,normal,normal,26,Moderate,7,25.1,8.9,9,8.93,Yes
Male,2,2.5,0,-0.93,10,9,moderate,normal,29,Heavy,15,27.3,7.1,6.5,6.93,Yes
Male,2,3.3,0,-1.15,2,5,normal,normal,30,Abstain,0,25.4,7.3,9,7.79,No
Female,4,3.5,0,0.19,1,1,normal,normal,35,Light,2,24.4,7.7,9.5,8.21,No
Female,2,2.5,0,0.75,1,14,normal,normal,26,Moderate,5,24.9,8.6,7.5,8.29,No
Male,1,4,3,-0.12,1,3,normal,normal,25,Moderate,9,26.9,6.7,8.79,7.3,Yes
Male,3,2.4,4,-0.79,7,5,normal,normal,31,Moderate,10,26.13,8.83,5.44,7.86,No
Female,4,3.15,2,0.2,4,8,normal,normal,30,Light,5,24.7,7.65,9.5,8.18,No
Female,1,3.75,0,-0.83,3,18,normal,high,31,Abstain,0,24.4,7.65,8,7.75,No
Female,4,3,0,-0.04,0,4,normal,normal,20,Light,10,24.5,8.25,7.25,7.96,Yes
Female,1,3.75,0,0.68,0,13,normal,normal,27,Moderate,3,26,8,6.75,7.64,No
Male,3,3.5,3,0.3,18,16,severe,high,11,Heavy,8,26.1,6.72,6,6.51,No
Female,2,3.3,2,-0.84,4,4,normal,normal,24,Moderate,7,24.3,10.12,9.25,9.87,No
Male,2,2.75,0,-0.54,5,2,normal,normal,30,Moderate,13,26,7.8,8,7.86,No
Male,2,2.5,1,-0.11,9,18,moderate,high,12,Moderate,14,24.75,6.85,6.29,6.69,No
Male,2,2.75,2,-1.04,6,8,normal,normal,29,Moderate,10,24,10.97,9.75,10.62,No
Female,2,2.8,0,-1.37,0,2,normal,normal,31,Moderate,6,25.95,7.09,7.18,7.11,No
Female,4,3.4,1,-0.78,14,18,moderate,high,27,Light,3,24.7,8.05,8,8.04,No
Male,1,3.8,1,0.8,0,0,normal,normal,27,Moderate,10,24.5,8.05,10,8.61,No
Male,1,3.6,1,0.45,6,15,normal,high,22,Light,12,23.2,6.3,7.25,6.57,No
Male,4,2.75,5,-0.81,1,3,normal,normal,29,Light,10,24.5,8.5,8.25,8.43,No
Male,4,3.1,3,0.85,2,2,normal,normal,28,Moderate,8,24.3,8.75,8.75,8.75,No
Female,4,2.5,3,-0.65,1,4,normal,normal,28,Moderate,4,24.4,7.8,9.5,8.29,No
Male,2,3.25,1,-1.13,3,8,normal,normal,32,Moderate,8,25.5,7.45,7,7.32,No
Female,1,3.5,4,1.12,3,8,normal,normal,21,Moderate,10,25.75,7.93,9.88,8.49,No
Female,3,2.77,2,0.83,8,14,moderate,normal,27,Light,10,24.75,7.75,7.13,7.57,No
Female,1,3.7,2,-0.46,10,8,moderate,normal,27,Moderate,6,25.35,8.3,5.25,7.43,Yes
Female,2,3.3,5,0.22,3,6,normal,normal,31,Moderate,6,23.7,9.63,7,8.88,No
Male,2,2.8,0,-0.01,10,7,moderate,normal,22,Moderate,12,25.7,7.1,8.25,7.43,No
Female,2,3.7,1,0.28,13,23,moderate,high,29,Abstain,0,24.95,6.6,9.75,7.5,No
Male,2,3.2,3,-0.73,1,14,normal,normal,27,Heavy,10,25.15,5.7,7.42,6.19,No
Male,2,3.24,6,-0.29,11,16,moderate,high,0,Moderate,12,26.8,5.95,6,5.96,Yes
Male,3,2.75,5,-0.05,18,24,severe,high,21,Light,3,25.8,6.43,10.25,7.52,No
Female,4,3.4,1,0.39,1,2,normal,normal,33,Moderate,6,26.7,8.5,7,8.07,No
Female,3,3.3,0,1.06,2,8,normal,normal,20,Abstain,0,23.65,7.97,8,7.98,No
Male,3,2.8,2,-0.02,10,7,moderate,normal,29,Moderate,10,24.3,8.98,8.38,8.81,No
Female,2,3.32,0,-0.93,0,11,normal,normal,28,Heavy,7,25,8.35,10,8.82,No
Female,4,3.7,6,0.24,15,25,severe,high,28,Moderate,9,25.2,7.57,12.75,9.05,No
Male,4,3,6,0.03,2,4,normal,normal,30,Moderate,10,24.87,7.98,6.75,7.63,Yes
Male,2,3.2,0,0.3,0,1,normal,normal,35,Abstain,0,25.85,7.95,10.75,8.75,No
Male,3,2,2,-0.08,0,0,normal,normal,22,Abstain,0,26.5,6.4,6.5,6.43,Yes
Male,4,2.98,14,-0.33,2,6,normal,normal,31,Moderate,10,24.9,7.8,8.25,7.93,No
Female,4,3,3,0.63,2,0,normal,normal,32,Heavy,7,25.5,9.45,10,9.61,No
Male,4,2.5,1,0.76,2,5,normal,normal,29,Heavy,20,25.05,8.87,7.29,8.42,Yes
Male,2,3.2,0,-0.83,0,0,normal,normal,25,Moderate,9,25.13,7.73,6.5,7.38,No
Female,2,3.6,1,0.79,7,11,normal,normal,28,Abstain,0,25.13,7.67,9.5,8.19,No
Female,2,3.2,1,-0.97,2,24,normal,high,26,Moderate,7,24.1,7.72,9.54,8.24,No
Female,3,3.56,4,-0.04,12,20,moderate,high,22,Moderate,6,26.58,7.97,9.69,8.46,No
Female,2,3,1,-0.52,5,2,normal,normal,28,Abstain,0,24.2,9.17,8.25,8.9,No
Female,4,3.1,0,0.27,2,5,normal,normal,27,Light,7,24.2,8.1,7.5,7.93,No
Male,3,3.3,1,-0.64,5,13,normal,normal,27,Moderate,10,25.7,7.05,6.75,6.96,No
Female,2,3.55,1,0.93,1,0,normal,normal,23,Light,3,23.73,8.05,7.63,7.93,No
Male,2,2.9,0,-0.18,0,1,normal,normal,33,Light,10,24.25,8.9,7.13,8.39,No
Female,1,4,1,-0.18,6,16,normal,high,24,Abstain,0,23.35,7.7,10.75,8.57,No
Male,1,3.75,2,0.97,4,7,normal,normal,25,Abstain,0,24.2,8.12,8.5,8.23,Yes
Male,1,3.42,0,-0.51,1,4,normal,normal,26,Light,5,24.09,8.75,10.02,9.11,No
Male,4,2.5,6,0.36,5,3,normal,normal,30,Heavy,10,25.7,8.3,8.75,8.43,No
Male,3,3,2,-0.71,3,5,normal,normal,17,Moderate,20,26.15,7.35,8.5,7.68,No
Male,2,3,2,0.7,1,2,normal,normal,28,Moderate,15,25.25,8.3,8.5,8.36,No
Male,3,3,2,-0.91,2,8,normal,normal,31,Heavy,10,24.9,7.57,8.75,7.91,No
Male,2,3.23,0,0.22,4,0,normal,normal,30,Moderate,9,25.5,7.58,10,8.27,Yes
Male,2,2.4,3,0.11,1,0,normal,normal,24,Light,1,26.1,7.82,8.25,7.94,No
Female,1,3.2,2,0.27,0,2,normal,normal,22,Light,3,25.36,8.29,9.67,8.68,Yes
Male,3,3,5,-0.49,3,1,normal,normal,29,Heavy,15,29.1,7.02,8.5,7.44,Yes
Male,4,3.35,2,-0.6,8,16,moderate,high,24,Heavy,18,25.4,6.73,8.5,7.24,No
Male,2,2.8,4,0.09,8,13,moderate,normal,26,Moderate,10,25.9,8.2,8.25,8.21,Yes
Female,3,3.25,1,-0.37,12,16,moderate,high,29,Light,3,23.2,10.9,6.5,9.64,No
Female,2,3.6,0,0.12,6,5,normal,normal,18,Light,2,22.3,9.9,7.5,9.21,No
Male,2,2.8,6,-0.14,4,11,normal,normal,18,Light,24,24.4,7.4,7,7.29,No
Female,2,3.5,0,-0.72,4,8,normal,normal,30,Light,2,26.3,5.35,6.38,5.64,No
Female,1,3.5,0,-0.54,4,5,normal,normal,27,Moderate,3,25.15,7.2,7.38,7.25,Yes
Female,2,3.4,0,-1.11,5,7,normal,normal,25,Light,4,24.8,9.25,7,8.61,No
Female,2,3.3,6,-0.09,26,16,severe,high,18,Moderate,5,24.6,8.2,4,7,No
Female,3,3.4,0,0.02,9,12,moderate,normal,26,Heavy,10,24.8,7.6,6,7.14,No
Male,1,2.8,1,-0.34,2,0,normal,normal,32,Moderate,7,25.5,7.57,10,8.26,No
Male,3,3.72,2,-0.01,4,9,normal,normal,32,Light,3,24.9,7.77,8.5,7.98,No
Male,1,3.4,0,0.39,1,8,normal,normal,23,Moderate,8,23.7,8.15,6.75,7.75,No
Female,2,3.3,3,-0.38,10,11,moderate,normal,27,Moderate,6,24.15,8.43,7.84,8.26,No
Male,2,2.7,0,-0.45,5,3,normal,normal,25,Light,7,24.2,10.2,9.5,10,No
Male,2,3.4,0,-0.14,1,3,normal,normal,30,Abstain,0,24.9,8.7,8.88,8.75,No
Male,2,3.15,2,-0.43,4,3,normal,normal,30,Moderate,12,25.2,9.6,7,8.86,No
Female,1,3.5,0,-1.05,10,10,moderate,normal,30,Moderate,6,24.2,7.67,9.67,8.24,No
Female,1,2.5,8,-1.13,15,4,severe,normal,29,Moderate,5,25.7,6.6,6.25,6.5,Yes
Female,1,3.25,0,-0.38,2,8,normal,normal,34,Moderate,7,25.35,8.55,8.5,8.54,No
Male,3,3.15,10,0.59,0,1,normal,normal,30,Light,5,25.35,8.38,8.38,8.38,No
Female,3,3.34,0,0.91,3,6,normal,normal,30,Abstain,0,24,7.55,7.75,7.61,No
Male,3,3.35,7,0.87,4,15,normal,high,16,Light,3,26.75,6.77,9.5,7.55,Yes
Female,1,3,1,-0.32,5,6,normal,normal,20,Light,5,23.6,9.03,9.5,9.17,No
Female,3,3.5,1,1.3,1,1,normal,normal,35,Moderate,5,24.45,7.8,8.75,8.07,No
Male,2,2.6,0,-0.29,1,3,normal,normal,31,Moderate,7,24.38,8.97,7.5,8.55,No
Male,2,2.5,3,-1,1,2,normal,normal,32,Moderate,13,23.35,8.4,9.88,8.82,No
