film,studio,rottenscore,audscore,story,genre,openingtheaters,avgopening,DOMgross,FORgross,WWgross,budget,percentprofit,grossopening,year
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.4,6.37,21,30.33,0.11,2011
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.2,0.24,7.45,41,18.17,3.25,2011
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,38.37,75.45,52,145.09,13.53,2011
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.44,0.44,4.88,15,32.55,0.64,2011
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.54,3.94,15.48,25,61.91,3.51,2011
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.46,45.64,20,228.18,9.91,2011
The Descendants,20th Century Fox,89,88,Discovery,Drama,876,5000,82.58,94.66,177.24,20,886.22,4.38,2011
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.48,21.25,69.72,70,99.6,17.8,2011
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,108.48,8.68,2011
The Girl With The Dragon Tattoo,Sony,87,89,Pursuit,Thriller,2914,4382,102.06,130.1,232.16,90,257.96,12.76,2011
The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.78,129.04,227.82,120,189.85,33.5,2011
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,332.3,586.76,80,733.46,85.95,2011
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.71,46.93,216.64,25,866.56,26.04,2011
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.96,35.03,75.99,12.5,607.94,10.47,2011
The Iron Lady,Weinstein Company,53,54,Biography,Drama,802,6749,30.02,84.94,114.96,13,884.27,5.41,2011
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17,75.01,40,187.52,13.21,2011
The Mechanic,Independent,53,52,Revenge,Action,2703,4226,29.12,21.95,51.07,40,127.68,11.4,2011
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,88.63,76.55,165.18,45,367.08,29.24,2011
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.05,63,96.05,37,259.59,14.8,2011
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.3,3.19,40.49,16,253.08,15,2011
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.11,10.84,23.95,45,53.21,5.14,2011
The Sitter,Fox,22,43,Comedy,Comedy,2750,2582,30.44,4.5,34.94,25,139.76,9.85,2011
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,421.14,563.75,110,512.5,35.61,2011
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.5,27.43,38,72.18,8.49,2011
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.37,111.9,132.27,75,176.37,8.67,2011
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.3,41,54.3,32,169.7,0.37,2011
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,268.29,449.32,150,299.55,65.72,2011
Tinker Tailor Soldier Spy,Focus,83,68,Pursuit,Thriller,809,6772,24.15,56.48,80.63,21,383.95,5.47,2011
Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,78.04,74.88,152.92,75,203.9,24.03,2011
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,771.4,1123.79,195,576.3,97.85,2011
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,281.29,430.88,712.17,110,647.43,138.12,2011
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.69,67.1,130.79,30,435.95,21.86,2011
War Horse,Disney,77,73,Biography,Drama,2376,6114,79.88,97.7,177.58,66,269.07,14.52,2011
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.4,23.06,25,92.23,5.24,2011
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,308.14,16.84,2011
We Bought a Zoo,Fox,63,79,Comedy,Comedy,3117,3003,75.62,44.46,120.08,50,240.16,9.36,2011
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,152.13,5.42,2011
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,110.51,7.86,2011
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,221.01,55.1,2011
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.6,3.26,24.86,49.9,49.81,9.36,2011
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.49,169.85,80,212.31,20.07,2011
127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.4,60.73,18,337.39,2.13,2010
A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.67,35,330.49,32.9,2010
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,691.28,1025.47,200,512.73,116.1,2010
All About Steve,Independent,6,35,Comedy,Comedy,2251,4994,33.86,6.26,40.12,15,267.47,11.2,2010
Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.11,25.4,50.51,20,252.54,9.1,2010
Black Swan,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.4,13,2533.82,8.38,2010
Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.16,9.28,36.44,17,214.35,13.4,2010
Buried,Independent,86,63,Escape,Drama,11,9115,1.04,18.11,19.15,2,957.4,0.1,2010
Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,39.44,50.08,89.52,55,162.76,11.95,2010
Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,108.42,5.4,2010
Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.9,112.49,85,132.34,12.3,2010
Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,2718,4555,31.16,17.03,48.19,44,109.52,12.4,2010
City Island,Independent,81,77,Transformation,Comedy,2,16000,6.67,1.2,7.87,6,131.23,0.03,2010
Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330,493.21,125,394.57,61.2,2010
Conviction,Independent,68,71,Rescue,Biography,672,2424,6.79,2.92,9.71,12.5,77.68,1.62,2010
Cop Out,Warner Bros.,19,45,The Riddle,Action,3150,5781,44.88,10.71,55.59,30,185.29,18.21,2010
Country Strong,Sony,20,56,Rags to Riches,Drama,1424,5145,20.22,0.31,20.53,15,136.85,7.33,2010
Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,141.71,0.18,2010
Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55,276.84,25.2,2010
Daybreakers,Lionsgate,67,50,Discovery,Action,2523,6003,30.1,21.31,51.41,20,257.05,15.1,2010
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.97,25,459.88,30.4,2010
Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,233.57,16.2,2010
Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.51,291.6,543.11,69,787.12,56.4,2010
Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.6,29.09,62.69,10,626.94,12.3,2010
Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64,11.7,75.7,15,504.67,22.1,2010
Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.83,86.86,69,125.88,23.5,2010
Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,100.54,111.24,211.78,50,423.56,32.69,2010
Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.4,16.55,74.95,8,936.88,17.7,2010
Eat Pray Love,Sony,36,46,Journey and Return,Drama,3082,7497,80.57,124.02,204.59,60,340.98,23.1,2010
Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80,101.4,17.2,2010
Extraordinary Measures,CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.14,31,48.84,6,2010
Faster,CBS,41,50,Revenge,Action,2454,3873,23.24,12.39,35.63,24,148.44,8.52,2010
For Colored Girls,Independent,33,73,Discovery,Drama,2127,9167,37.73,17.32,55.05,21,262.14,19.5,2010
From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.75,52.83,52,101.59,8.2,2010
Furry Vengeance,Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.61,36.24,35,103.53,6.6,2010
Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.29,91.26,40,228.14,17.6,2010
Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.8,24.25,42.05,32,131.41,6.9,2010
Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.83,94.88,100,94.88,14.3,2010
Grown Ups,Independent,10,59,Comedy,Comedy,3534,11462,162,109.43,271.43,80,339.29,40.5,2010
Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42.78,194.6,237.38,112,211.95,6.3,2010
Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295,664.3,959.3,125,767.44,125,2010
Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.28,64.57,36,179.36,14,2010
How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.3,494.88,165,299.93,43.7,2010
Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,532.96,825.54,160,515.96,62.8,2010
Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,311.5,623.93,200,311.97,128.1,2010
Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.23,54.46,171.69,20,858.43,50.4,2010
Jonah Hex,Warner Bros.,13,24,Revenge,Action,2825,1904,10.55,0.36,10.91,47,23.21,5.4,2010
Just Wright,Fox,45,58,Love,Comedy,1831,4525,21.54,0.03,21.57,12,179.74,8.3,2010
Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.12,96.19,30,320.63,19.8,2010
Killers,Lionsgate,11,45,Love,Action,2859,5539,47.06,51.1,98.16,75,130.88,15.8,2010
Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.51,261.93,117,223.87,20.2,2010
Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.92,6.69,32.61,19,171.62,9.2,2010
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.68,84.4,140.07,80,175.09,16.1,2010
Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.75,67.92,26,261.23,17.5,2010
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30,263.93,13.5,2010
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,53.37,52.27,102.1,14.5,2010
Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,148.44,162.21,310.65,100,310.65,30.83,2010
Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,32.37,70.44,102.8,30,342.67,9.74,2010
MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.8,9.33,10,93.27,4,2010
Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,17.5,44.09,20,220.45,11,2010
Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,50.12,83.76,50,167.51,11.6,2010
Megamind,Paramount,72,73,Transformation,Animation,3944,11668,148.42,173.47,321.88,130,247.6,46.02,2010
Morning Glory,Independent,54,54,Comedy,Comedy,2518,3655,31.01,29.03,60.04,40,150.1,9.2,2010
My Soul to Take,Relativity Media,9,29,Monster Force,Horror,2572,2660,14.74,6.23,20.97,25,83.88,6.84,2010
Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.24,35,266.4,8.4,2010
Paranormal Activity 2,Paramount,58,57,Monster Force,Horror,3216,12649,84.75,92.76,177.51,3,5917.03,40.67,2010
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,238.42,31.2,2010
Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25,58.19,83.19,24,346.62,10.1,2010
Predators,Fox,64,52,Monster Force,Action,2669,9277,52,75.23,127.23,40,318.08,24.8,2010
Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,8254,90.76,245.61,336.37,200,168.18,30,2010
Red,Summit,71,72,Rivalry,Action,3255,6686,90.38,108.63,199.01,58,343.11,21.8,2010
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.96,56.03,16,350.21,8,2010
Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,57.53,6.1,2010
Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,493.7,26.7,2010
Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,160.83,36,2010
Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,266.82,36,2010
Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,90.44,136.15,20,680.75,22.53,2010
Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.14,47.66,60,79.43,10.6,2010
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,8999,95.35,193,288.35,100,288.35,31,2010
She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,17.77,49.78,20,248.89,9.8,2010
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,513.86,752.6,165,456.12,70.8,2010
Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,368.5,41,2010
Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,45.43,66.82,10,668.17,11.69,2010
Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.82,5.18,15,34.52,0.09,2010
Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.89,159.29,30,530.97,15.8,2010
Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,7.67,9.48,22,43.09,0.08,2010
Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,11.31,69.05,32,215.78,20.5,2010
Tangled,Disney,89,88,Love,Animation,3603,13535,200.82,390.97,591.79,260,227.61,48.77,2010
The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,100.02,177.24,100,177.24,25.7,2010
The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,32.27,67.88,20,339.38,13.1,2010
The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.99,77.48,35,221.36,12.2,2010
The Book of Eli,Independent,48,68,Quest,Action,3111,10540,94.84,62.27,157.11,80,196.38,32.7,2010
The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.27,136.33,40,340.83,20.7,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104.39,311.3,415.69,155,268.18,24,2010
The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.68,54.8,20,274.02,16.07,2010
The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,334.72,34.8,2010
The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93.62,35.54,129.15,25,516.62,12,2010
The Ghost Writer,Summit,83,68,The Riddle,Mystery,819,2520,15.54,44.68,60.22,45,133.82,2,2010
The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.12,40,897.8,55.7,2010
The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,13.89,34.7,4,867.6,3.5,2010
The King's Speech,Independent,95,93,Maturation,Biography,700,6406,138.79,275.41,414.2,15,2761.36,4.4,2010
The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.94,319.71,150,213.14,40.3,2010
The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,26.7,67.73,1.8,3762.94,20.4,2010
The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,445.2,16,2010
The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,117.52,9.4,2010
The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,46.3,67.45,30,224.83,6.54,2010
The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.21,170.43,100,170.43,35.5,2010
The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,46.77,0.8,2010
The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,96.96,127.96,224.92,50,449.84,22.4,2010
The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,143.52,17.6,2010
The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,22.05,49.83,19,262.27,8.4,2010
The Tourist,Sony,20,44,Pursuit,Thriller,2756,5977,67.63,210.72,278.35,100,278.35,16,2010
